"chromosomeName"	"start"	"end"	"readsL"	"readsR"	"isNonBlind"	"leftFragEndValid"	"rightFragEndValid"
10	69981266	69981884	1735	2673	TRUE	TRUE	FALSE
10	69981889	69981918	3018	2317	FALSE	TRUE	FALSE
10	69981923	69982199	2644	2809	TRUE	FALSE	TRUE
10	69982204	69982478	3239	2418	FALSE	TRUE	TRUE
10	69982483	69982623	2186	2167	FALSE	TRUE	TRUE
10	69982628	69982760	2502	2336	FALSE	TRUE	TRUE
10	69982765	69982814	2131	1820	FALSE	TRUE	TRUE
10	69982819	69982992	2020	2077	TRUE	TRUE	FALSE
10	69982997	69983007	1783	1728	FALSE	FALSE	FALSE
10	69983012	69983011	2052	1844	FALSE	FALSE	FALSE
10	69983016	69983100	1533	2185	TRUE	TRUE	TRUE
10	69983105	69983134	2086	2024	FALSE	TRUE	TRUE
10	69983139	69983260	2170	1198	FALSE	TRUE	TRUE
10	69983265	69983431	1466	1691	FALSE	TRUE	TRUE
10	69983436	69983502	1512	1128	TRUE	TRUE	FALSE
10	69983507	69983512	1398	1113	FALSE	FALSE	FALSE
10	69983517	69984468	1186	539	TRUE	TRUE	TRUE
10	69984473	69984486	653	653	FALSE	FALSE	FALSE
10	69984491	69984606	637	347	TRUE	TRUE	FALSE
10	69984611	69984638	535	416	FALSE	FALSE	TRUE
10	69984643	69984757	758	766	FALSE	TRUE	TRUE
10	69984762	69984767	682	683	FALSE	FALSE	FALSE
10	69984772	69985316	898	938	TRUE	TRUE	TRUE
10	69985321	69985326	883	883	FALSE	FALSE	FALSE
10	69985331	69985461	929	939	TRUE	TRUE	FALSE
10	69985466	69985845	614	643	FALSE	TRUE	TRUE
10	69985850	69985976	816	826	FALSE	TRUE	TRUE
10	69985981	69986359	1071	1101	TRUE	TRUE	TRUE
10	69986364	69986411	676	679	TRUE	FALSE	FALSE
10	69986416	69988136	1054	1201	TRUE	TRUE	TRUE
10	69988141	69988908	923	992	TRUE	TRUE	TRUE
10	69988913	69989344	967	1006	TRUE	TRUE	FALSE
10	69989349	69989424	722	728	TRUE	TRUE	FALSE
10	69989429	69989680	967	990	FALSE	TRUE	TRUE
10	69989685	69989737	825	830	FALSE	TRUE	TRUE
10	69989742	69989768	800	803	FALSE	TRUE	TRUE
10	69989773	69989833	1130	1136	FALSE	TRUE	TRUE
10	69989838	69990193	1173	1205	FALSE	TRUE	TRUE
10	69990198	69990355	1285	1299	FALSE	TRUE	TRUE
10	69990360	69990449	954	963	FALSE	TRUE	TRUE
10	69990454	69990486	854	857	FALSE	TRUE	TRUE
10	69990491	69991164	1460	1521	TRUE	TRUE	FALSE
10	69991169	69991275	905	915	FALSE	TRUE	TRUE
10	69991280	69991697	1306	1343	FALSE	TRUE	TRUE
10	69991702	69992801	1193	1286	FALSE	TRUE	TRUE
10	69992806	69993200	1270	1302	TRUE	FALSE	TRUE
10	69993205	69993242	1044	1047	TRUE	TRUE	FALSE
10	69993247	69993270	1487	1489	FALSE	FALSE	FALSE
10	69993275	69993565	1528	1551	FALSE	TRUE	TRUE
10	69993570	69993748	1276	1290	TRUE	TRUE	TRUE
10	69993753	69993877	1552	1562	FALSE	TRUE	TRUE
10	69993882	69994151	1569	1589	TRUE	TRUE	TRUE
